match_file,season,player_id,player_name,contestant_id,type_id,period_id,time_min,x,y,y_sym,distance,log_distance,angle,angle_sin,in_six_yard,in_penalty_box,central_y,dist_to_post,goal_y_raw,goal_y_norm,goal_h_raw,goal_h_norm,goal_frame_dist,corner_zone,placement_score,goal_zone,is_header,is_right_foot,is_left_foot,weak_foot,is_volley,is_deflected,is_first_time,is_big_chance,is_fast_break,is_from_corner,is_free_kick,is_penalty,is_set_piece,is_open_play,is_pull_back,under_pressure,is_intentional,is_goal,is_on_target,is_post,is_blocked,is_outfield_block,is_keeper_save,technique_index,xg,psxg,placement_quality,shot_power,finishing_luck
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,bqbs20rirfi1eh7k7ss4pt0ix,K. Holmgaard,7kt37xy93vjy6wac8vq6fqz3g,16,1,2,92.6,53.1,3.1000000000000014,8.02309167341369,2.082323843032263,72.28225572217752,0.9525672777248798,0,1,1,2.8999999999999986,53.8,0.6333333333333329,49.6,0.496,0.6499439292055205,1.0,50.09058461094922,Bottom Right,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,20.0,0.13946587,0.6666667,0.5272008,42.0,0.3333333134651184
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,8e7wbpcbwxvdz0fojwuyov3rp,G. George,7kt37xy93vjy6wac8vq6fqz3g,13,1,6,88.8,54.2,4.200000000000003,11.961605243444549,2.481701957195409,51.454749826249525,0.7821162728636236,0,1,1,1.7999999999999972,69.4,3.2333333333333343,51.6,0.516,3.237591766181223,1.0,78.41881860313322,Bottom Right,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.33333334,0.0,-0.33333334,50.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,8e7wbpcbwxvdz0fojwuyov3rp,G. George,7kt37xy93vjy6wac8vq6fqz3g,15,1,8,87.3,59.0,9.0,15.565667348366407,2.745067677909669,36.455721732141754,0.5942013873556108,0,1,0,3.0,48.4,-0.2666666666666669,50.5,0.505,0.30844142249560325,0.0,23.43430533783042,Bottom Centre,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,50.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,e6s5iphbrws04dxrvw0xqd7f9,M. Finnigan,7kt37xy93vjy6wac8vq6fqz3g,16,1,11,93.1,57.5,7.5,10.19117265087782,2.3215219192080867,50.66314603411483,0.7734326444969963,0,1,0,1.5,45.4,-0.7666666666666669,50.7,0.507,0.7825770107649331,1.0,60.44731406586881,Bottom Left,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,20.0,0.19767442,0.3548387,0.15716428,42.0,0.6451613008975983
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,avttb0ne86ra4pqruk0d8al05,L. Hope,7kt37xy93vjy6wac8vq6fqz3g,13,1,17,85.1,42.1,7.899999999999999,16.864756150030754,2.825226009472275,35.74440773771423,0.5841704504831684,0,1,0,1.8999999999999986,69.9,3.3166666666666678,49.5,0.495,3.3198347515769195,1.0,78.10427502882142,Bottom Right,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,20.0,0.051282052,0.0,-0.051282052,42.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,3fta0gg3ghja3x9ouubjjfzl5,H. Hayashi,cz26xwowfjp8ei14n9z2ac135,13,1,27,75.9,44.3,5.700000000000003,24.76489450815407,3.2094271063159687,26.608703584107953,0.44789491024391925,0,0,1,0.29999999999999716,63.2,2.2000000000000006,50.2,0.502,2.205244657628718,1.0,78.20230175640613,Bottom Right,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,25.0,0.09859155,0.0,-0.09859155,42.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,e93vn46w6kk9xwdb8forgzil1,V. Asseyi,cz26xwowfjp8ei14n9z2ac135,15,1,31,71.2,49.5,0.5,28.804339950778246,3.3605260685242464,23.52997020778001,0.3992287090384543,0,0,1,5.5,47.8,-0.36666666666666714,50.4,0.504,0.3976939079800504,0.0,30.444120030712767,Bottom Centre,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,25.0,0.0,0.0,0.0,42.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,dfodeak21qhzgxr7qs85f3vf9,K. Smith,cz26xwowfjp8ei14n9z2ac135,15,1,31,92.0,72.7,22.700000000000003,24.068444071023787,3.1809016078702848,10.020793840218225,0.1740055736141801,0,1,0,16.700000000000003,49.9,-0.016666666666666902,53.4,0.534,0.18475328894982573,0.0,14.183715231834636,Bottom Centre,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0.0,0.09859155,0.14545454,0.04686299,50.0,-0.145454540848732
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,27iu58a0k5jqsxidnaxbothbd,K. Snoeijs,7kt37xy93vjy6wac8vq6fqz3g,15,1,37,77.0,41.8,8.200000000000003,24.418026128252055,3.195321635286719,26.2269784913629,0.4419282900501632,0,0,0,2.200000000000003,50.3,0.049999999999999524,,,0.049999999999999524,0.0,4.999999999999952,Unknown,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,35.0,0.0,0.0,0.0,47.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,cvuaoz9c41od4r0j3sajszsut,K. Longhurst,cz26xwowfjp8ei14n9z2ac135,13,2,48,89.2,37.6,12.399999999999999,16.44384383287557,2.799951172084404,28.938250775821775,0.48386673736518343,0,1,0,6.399999999999999,49.1,-0.14999999999999977,48.0,0.48,0.1984943324127919,0.0,14.356570311572003,Bottom Centre,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0,0.1291866,0.14545454,0.01626794,75.0,-0.145454540848732
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,19npqca9guxs7p2yl5sbjmbx1,L. Evans,cz26xwowfjp8ei14n9z2ac135,15,2,52,89.1,62.4,12.399999999999999,16.509694121939393,2.803947730924519,28.938288760039054,0.4838673175399599,0,1,0,6.399999999999999,50.9,0.14999999999999977,50.9,0.509,0.2185886547833623,0.0,16.340474629309597,Bottom Centre,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,15.0,0.0,0.0,0.0,75.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,bmw6mvkeropjorm2rxzw2fzai,J. Park,7kt37xy93vjy6wac8vq6fqz3g,15,2,60,73.8,55.7,5.700000000000003,26.81287004406653,3.2888819977703068,24.71989131809999,0.4181824544822464,0,0,1,0.29999999999999716,52.3,0.38333333333333286,,,0.38333333333333286,0.0,38.333333333333286,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,25.0,0.0,0.0,0.0,42.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,8e7wbpcbwxvdz0fojwuyov3rp,G. George,7kt37xy93vjy6wac8vq6fqz3g,15,2,64,86.1,64.6,14.599999999999994,20.158620984581262,3.003632037320943,24.244917457989583,0.41063797123772616,0,1,0,8.599999999999994,48.2,-0.29999999999999954,51.1,0.511,0.34047173157253413,0.0,26.01730193544285,Bottom Centre,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0.0,0.0,0.0,0.0,50.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,69nz7p1izpw4i8tle2c8hls2y,A. Beever-Jones,7kt37xy93vjy6wac8vq6fqz3g,16,2,69,74.9,53.3,3.299999999999997,25.316002844051027,3.2314367192550906,26.470253481460617,0.44573312572675405,0,0,1,2.700000000000003,46.4,-0.6000000000000002,48.6,0.486,0.6152202857513723,1.0,47.35163965247433,Bottom Left,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,25.0,0.13946587,0.53571427,0.3962484,42.0,0.4642857313156128
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,emo8wffj0agou65ijs2seiaqd,A. Stringer,cz26xwowfjp8ei14n9z2ac135,15,2,71,75.5,54.6,4.600000000000001,24.92809659801566,3.215995544761689,26.66635776375452,0.4487943622871525,0,0,1,1.3999999999999986,45.5,-0.75,49.6,0.496,0.7640785299954449,1.0,58.96948363348622,Bottom Left,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,25.0,0.0,0.0,0.0,42.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,69nz7p1izpw4i8tle2c8hls2y,A. Beever-Jones,7kt37xy93vjy6wac8vq6fqz3g,13,2,76,88.1,67.3,17.299999999999997,20.997618912629118,3.044409046181946,19.426710400679873,0.3326008114970177,0,1,0,11.299999999999997,46.6,-0.5666666666666664,52.3,0.523,0.5924863805279501,1.0,45.76862098279415,Bottom Left,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.08206687,0.5185185,0.43645164,50.0,-0.5185185074806213
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,e93vn46w6kk9xwdb8forgzil1,V. Asseyi,cz26xwowfjp8ei14n9z2ac135,15,2,78,94.8,49.6,0.3999999999999986,5.215361924162122,1.6516084866509764,98.02723751043193,0.9902017961502159,1,1,1,5.600000000000001,48.3,-0.2833333333333338,,,0.2833333333333338,0.0,28.333333333333382,Unknown,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,20.0,0.0,0.0,0.0,42.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,stp0u46f1xc7a2mgvbkoy76x,H. Cissoko,cz26xwowfjp8ei14n9z2ac135,13,2,78,78.0,34.8,15.200000000000003,26.740231861373232,3.2861692425925706,21.24529336464342,0.3623614760781133,0,0,0,9.200000000000003,41.8,-1.3666666666666671,48.6,0.486,1.3734168259409738,1.0,77.988318213549,Bottom Left,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,40.0,0.0,0.0,0.0,67.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,e93vn46w6kk9xwdb8forgzil1,V. Asseyi,cz26xwowfjp8ei14n9z2ac135,15,2,83,74.1,42.4,7.600000000000001,26.992035862453953,3.295541854435434,24.168792832057033,0.4094261705765004,0,0,0,1.6000000000000014,49.7,-0.049999999999999524,,,0.049999999999999524,0.0,4.999999999999952,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,25.0,0.0,0.0,0.0,42.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,cqfxdqu4j8ws6ejoklc7ahz6y,H. Houssein,cz26xwowfjp8ei14n9z2ac135,15,2,89,80.3,50.9,0.8999999999999986,19.720547659738056,2.981661120580851,33.817266566335995,0.5565460144135634,0,0,1,5.100000000000001,50.9,0.14999999999999977,49.1,0.491,0.20586646157157298,0.0,15.066887903980392,Bottom Centre,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,25.0,0.0,0.0,0.0,42.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,e93vn46w6kk9xwdb8forgzil1,V. Asseyi,cz26xwowfjp8ei14n9z2ac135,15,2,91,87.9,36.3,13.700000000000003,18.27840255602223,2.9057201746813552,25.97001254625014,0.43790067611964356,0,1,0,7.700000000000003,49.1,-0.14999999999999977,,,0.14999999999999977,0.0,14.999999999999977,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,50.0,0.0
2023-01-22_Everton FC - West Ham United WFC.json,WSL 2022-2023,e93vn46w6kk9xwdb8forgzil1,V. Asseyi,cz26xwowfjp8ei14n9z2ac135,15,2,91,93.5,37.3,12.700000000000003,14.26674454807403,2.6579312728818927,24.964825149768625,0.42206178442173264,0,1,0,6.700000000000003,45.6,-0.7333333333333331,,,0.7333333333333331,1.0,73.3333333333333,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.0,0.0,0.0,0.0,50.0,0.0
2025-10-12_Everton FC - Manchester United WFC.json,WSL 2025-2026,5c00ea33ei5ie1iauirtge505,L. Naalsund,axwnneoekq2f2yq6r1l704y96,13,1,1,88.5,59.9,9.899999999999999,15.174320413119,2.719604552622759,35.389534562461584,0.5791322744181229,0,1,0,3.8999999999999986,37.1,-2.15,51.6,0.516,2.15639884993477,1.0,78.41881860313322,Bottom Left,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.35454544,0.0,-0.35454544,50.0,0.0
