player_name,season,shots_total,goals,xg_total,xg_per_shot,on_target,goals_minus_xg,conversion_rate
,WSL 2015,188,26,24.098092554364264,0.128181343374278,108,1.9019074456357359,0.13829787234042554
,WSL 2016,281,28,32.86576938556462,0.11696003340058583,159,-4.865769385564619,0.099644128113879
,WSL 2017,3,0,0.4505482017993927,0.1501827339331309,0,-0.4505482017993927,0.0
,WSL 2017-2018,12,4,4.180257685482502,0.34835480712354183,7,-0.18025768548250198,0.3333333333333333
A. Addison,WSL 2019-2020,3,1,0.25531914830207825,0.08510638276735942,3,0.7446808516979218,0.3333333333333333
A. Addison,WSL 2020-2021,17,2,2.1679436787962914,0.12752609875272303,11,-0.16794367879629135,0.11764705882352941
A. Addison,WSL 2021-2022,12,1,1.7500782518125162,0.14583985431770968,7,-0.7500782518125162,0.08333333333333333
A. Ale,WSL 2020-2021,2,0,0.0,0.0,2,0.0,0.0
A. Ale,WSL 2021-2022,3,1,0.9259259104728699,0.3086419701576233,2,0.07407408952713013,0.3333333333333333
A. Ale,WSL 2022-2023,1,0,0.25531914830207825,0.25531914830207825,0,-0.25531914830207825,0.0
A. Ale,WSL 2023-2024,1,0,0.4364641010761261,0.4364641010761261,0,-0.4364641010761261,0.0
A. Ale,WSL 2024-2025,3,0,1.0335961431264877,0.3445320477088292,0,-1.0335961431264877,0.0
A. Ale,WSL 2025-2026,5,0,0.20370370149612427,0.04074074029922485,3,-0.20370370149612427,0.0
A. Anvegård,WSL 2021-2022,28,4,3.037143401801586,0.10846940720719951,18,0.9628565981984138,0.14285714285714285
A. Asante,WSL 2017-2018,1,0,0.0,0.0,1,0.0,0.0
A. Asante,WSL 2020-2021,4,1,0.44837774336338043,0.11209443584084511,3,0.5516222566366196,0.25
A. Asante,WSL 2021-2022,4,1,0.3571709990501404,0.0892927497625351,3,0.6428290009498596,0.25
A. Baker,WSL 2021-2022,2,0,0.2291666716337204,0.1145833358168602,1,-0.2291666716337204,0.0
A. Baker,WSL 2022-2023,1,1,0.4545454680919647,0.4545454680919647,1,0.5454545319080353,1.0
A. Baker,WSL 2023-2024,2,0,0.0,0.0,2,0.0,0.0
A. Beever-Jones,WSL 2022-2023,19,2,1.3934051468968391,0.07333711299457048,13,0.6065948531031609,0.10526315789473684
A. Beever-Jones,WSL 2023-2024,40,11,8.267231538891792,0.20668078847229482,27,2.7327684611082077,0.275
A. Beever-Jones,WSL 2024-2025,46,9,8.189976900815964,0.17804297610469486,34,0.8100230991840363,0.1956521739130435
A. Beever-Jones,WSL 2025-2026,27,4,3.8871544376015663,0.1439686828741321,18,0.11284556239843369,0.14814814814814814
A. Bergström,WSL 2025-2026,12,1,2.2100888788700104,0.18417407323916754,6,-1.2100888788700104,0.08333333333333333
A. Blanchard,WSL 2024-2025,22,4,4.970584061451074,0.225935639156867,10,-0.9705840614510741,0.18181818181818182
A. Csiki,WSL 2024-2025,2,0,0.25531914830207825,0.12765957415103912,1,-0.25531914830207825,0.0
